Product ID,Product Name,Product Category,Brand Name,Price,Weight/Volume,Carbon Footprint,Water Usage,Packaging Material,Recyclability,Ethical Sourcing,Manufacturing Location,Sustainability Rating,Suggested Eco Improvements,Product Popularity,Barcode/Identifier
1013,Cruelty-Free Lip Balm,cosmetics,EcoSense,6.99,one unit,0.05,1.5,biodegradable plastic,8,1,India,Excellent,none,Medium,987654321098
1014,Organic Quinoa,groceries,GreenEarth,8.99,500g,0.3,2.0,paper,9,1,Mexico,Excellent,none,High,123456789012
1015,Eco-Friendly Yoga Mat,clothing,BrandX,24.99,one size,1.8,12.0,plastic,3,0,China,Poor,"Switch to biodegradable packaging, reduce water usage",Medium,654321098765
999,Bamboo Toothbrush Set,cosmetics,EcoBrush,14.99,One Size,0.23,0.5,biodegradable,9,1,India,Excellent,None,Medium,987654321012
P00152,Vegan Probiotic Yoghurt,groceries,GreenEarth,4.99,500g,2.75,1.2,biodegradable,9,1,USA,Excellent,None,High,123456789012
101,EcoCycle Reusable Water Bottle,groceries,GreenEarth,19.99,One Size,0.5,0.2,biodegradable,9,1,India,Excellent,None,High,012345678901
P0012001,BioGreen Toothpaste,cosmetics,EcoSense,4.99,100g,0.5,1.8,biodegradable,8,1,India,Excellent,None,Medium,123456789012
1001,EcoCycle Recycled T-Shirt,Clothing,GreenEarth,25.99,One Size,1.23,2.5,Biodegradable,9,1,India,Excellent,Use renewable energy,High,123456789012
1000,EcoCycle Reusable Water Bottle,groceries,GreenEarth,15.99,One Size,1.21,0.5,paper,8,1,USA,Excellent,None,High,123456789012
1234,EcoCycle Reusable Bag,clothing,GreenEarth,19.99,One Size,0.5,2.1,paper,9,1,USA,Excellent,,High,123456789012
1001,EcoCycle Laundry Detergent,cosmetics,GreenEarth,8.99,1L,0.75,0.5,biodegradable,9,1,USA,Excellent,None,High,123456789012
5001,Bamboo Toothbrush Set,cosmetics,EcoSense,9.99,One Size,0.15,0.2,biodegradable,9,1,India,Excellent,None,Medium,123456789012
10001,EcoCycle Hair Dye,cosmetics,GreenEarth,9.99,200ml,0.52,1.8,recyclable plastic,8,1,Germany,Excellent,None,High,123456789012
ID_17,Sustainable Bamboo Toothbrush,cosmetics,GreenEarth,8.99,One Size,0.125,0.15,biodegradable,9,1,India,Excellent,,High,123456789012
1001,EcoCycle Reusable Water Bottle,groceries,GreenEarth,24.99,One Size,0.5,0.2,biodegradable,8,1,USA,Excellent,None,High,987654321012
PRD-00123,EcoCycle Recycled Paper Towels,groceries,GreenEarth,4.99,4 rolls (250 sheets each),0.15,0.5,biodegradable paper,9,1,USA,Excellent,None,Medium,123456789012
5001,EcoCycle Bamboo Toothbrush,cosmetics,GreenEarth,9.99,One Size,0.12,0.05,biodegradable,9,1,India,Excellent,None,High,123456789012
1000,EcoCycle Bike Helmet,clothing,GreenCycle,29.99,One Size,1.2,0.5,biodegradable,8,1,Germany,Excellent,Reduce carbon footprint by 20%,Medium,123456789012
PID_0012,EcoPure Dish Soap,cosmetics,GreenEarth,4.99,500ml,0.52,1.21,recyclable plastic,9,1,USA,Excellent,None,Medium,012345678912
P001215,EcoCycle Reusable Water Bottle,groceries,GreenEarth,19.99,1L,0.15,0.5,recyclable plastic,9,1,USA,Excellent,None,Medium,123456789012
PRT00000016,Zero Waste Shampoo Bar,cosmetics,EcoPure,8.99,100g,0.2,0.5,biodegradable,9,1,India,Excellent,None,Medium,123456789012
